Heat,Part,label,label_id,SN,Fld,Intensity,Davg,Dcirc,Dmax,Dmin,Dperp,Aspect,Area,Perim,Roundness,Elongation,Pixel.Size...m.per.pixel.,g0,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,g13,g14,g15,g16,g17,g18,g19,g20,g21,g22,g23,g24,g25,g26,g27,g28,g29,g30,g31,g32,g33,g34,g35,g36,g37,g38,g39,g40,g41,g42,g43,g44,g45,g46,g47,g48,g49,g50,g51,g52,g53,g54,g55,g56,g57,g58,g59,g60,g61,g62,g63,g64,g65,g66,g67,g68,g69,g70,g71,g72,g73,g74,g75,g76,g77,g78,g79,g80,g81,g82,g83,g84,g85,g86,g87,g88,g89,g90,g91,g92,g93,g94,g95,g96,g97,g98,g99,g100,g101,g102,g103,g104,g105,g106,g107,g108,g109,g110,g111,g112,g113,g114,g115,g116,g117,g118,g119,g120,g121,g122,g123,g124,g125,g126,g127,g128,g129,g130,g131,g132,g133,g134,g135,g136,g137,g138,g139,g140,g141,g142,g143,g144,g145,g146,g147,g148,g149,g150,g151,g152,g153,g154,g155,g156,g157,g158,g159,g160,g161,g162,g163,g164,g165,g166,g167,g168,g169,g170,g171,g172,g173,g174,g175,g176,g177,g178,g179,g180,g181,g182,g183,g184,g185,g186,g187,g188,g189,g190,g191,g192,g193,g194,g195,g196,g197,g198,g199,g200,g201,g202,g203,g204,g205,g206,g207,g208,g209,g210,g211,g212,g213,g214,g215,g216,g217,g218,g219,g220,g221,g222,g223,g224,g225,g226,g227,g228,g229,g230,g231,g232,g233,g234,g235,g236,g237,g238,g239,g240,g241,g242,g243,g244,g245,g246,g247,g248,g249,g250,g251,g252,g253,g254,g255,image_path,split
1,12201,sulfide,2,1-12201,40,145,7.051,3.747,10.414,2.529,2.688,3.9,11.028,28.12,0.13,0.26,0.131785813,4,20,53,61,59,54,42,32,30,20,17,16,17,8,17,9,12,6,6,9,6,10,5,3,6,10,5,9,7,2,2,5,5,6,6,5,3,6,3,8,0,4,3,5,4,5,4,10,5,4,5,3,6,5,6,6,4,6,8,6,5,4,11,7,6,9,4,2,7,3,8,6,8,5,6,11,9,6,3,5,4,5,8,4,12,11,6,3,9,8,6,7,7,8,4,10,10,7,14,10,10,12,12,8,10,9,13,9,9,6,5,8,14,12,7,11,10,10,9,9,21,7,20,10,18,19,21,14,16,30,28,21,33,30,27,32,36,23,34,23,32,25,32,24,29,20,24,18,23,31,31,26,33,31,29,27,27,32,30,20,34,30,27,28,38,25,32,28,25,31,34,41,26,34,41,48,47,50,50,65,79,91,112,126,134,169,198,226,254,313,357,403,453,494,513,541,550,565,563,613,576,613,547,567,537,529,497,417,371,318,286,275,216,201,155,119,104,86,64,53,48,28,19,28,13,14,7,6,9,4,2,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data/raw/heat_1/imgs/12201.TIF,train
3,16936,oxy-sulfide,3,3-16936,147,92,2.903,2.746,3.004,2.744,2.988,1.0,5.922,10.728,0.84,0.99,0.092773438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1,2,4,1,1,8,4,4,2,7,7,6,5,6,5,9,9,8,8,16,8,6,6,8,5,10,14,10,11,8,10,16,10,9,10,8,8,8,4,13,7,9,7,6,7,4,5,7,9,0,5,5,3,5,4,7,2,4,2,1,4,8,4,7,3,3,4,2,5,3,4,1,2,2,7,2,6,4,0,3,2,6,4,1,0,3,3,5,3,4,0,1,3,3,9,2,2,2,6,3,6,1,2,5,3,5,5,4,3,5,4,8,5,0,3,1,6,3,3,3,1,1,6,7,6,5,4,5,3,8,2,4,5,6,6,5,2,4,6,2,5,10,9,9,13,12,14,13,22,36,44,55,64,91,106,148,170,200,244,267,327,369,450,465,561,638,606,646,689,711,712,712,731,671,652,626,552,634,475,445,413,344,322,287,232,187,140,129,112,83,60,50,35,25,23,10,7,9,6,2,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data/raw/heat_3/imgs/16936.TIF,train
1,11177,sulfide,2,1-11177,36,120,2.38,2.226,2.616,2.199,2.282,1.1,3.89,8.719,0.72,0.87,0.092773438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6,6,3,5,7,5,9,8,7,11,11,7,11,11,9,6,9,12,6,8,8,6,4,3,5,7,6,5,6,4,5,4,4,6,8,6,6,4,6,3,4,4,3,5,2,4,4,5,5,5,3,3,2,2,2,5,9,5,2,4,4,5,1,2,4,3,7,5,1,4,4,6,6,5,3,6,3,2,3,4,6,3,6,5,2,2,1,5,10,7,6,5,8,8,3,10,17,30,37,44,52,79,97,128,128,158,224,245,336,355,396,480,512,616,604,625,692,701,735,718,738,756,710,597,653,567,520,501,457,389,382,308,251,195,180,140,127,82,74,72,40,36,29,21,12,10,5,7,1,2,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data/raw/heat_1/imgs/11177.TIF,train
3,18745,non-inclusion,0,3-18745,167,96,4.983,4.68,5.202,4.799,4.834,1.1,17.205,22.443,0.81,0.93,0.092773438,0,0,0,0,0,3,6,5,7,7,10,13,7,10,12,18,14,9,13,13,9,6,18,13,13,9,6,9,10,10,11,8,7,8,12,18,9,9,9,10,11,15,7,8,9,15,7,6,12,5,15,12,7,9,10,11,11,10,16,7,6,9,11,9,8,11,11,10,12,10,8,5,8,17,8,11,18,14,9,8,9,9,12,11,16,9,13,12,8,12,17,8,10,11,14,15,14,17,14,13,8,9,10,19,11,13,13,6,17,11,10,14,14,13,17,13,14,11,12,12,9,12,11,9,15,16,8,9,12,10,16,11,13,13,10,10,6,14,12,15,13,18,18,18,16,13,21,17,21,12,17,16,13,19,17,21,13,16,13,21,18,13,24,12,10,22,18,17,11,18,15,19,15,15,19,14,26,23,26,32,24,35,41,40,38,57,67,78,71,109,134,156,178,197,244,270,326,408,396,478,477,543,585,598,637,628,620,633,605,603,601,538,534,445,431,337,323,291,262,242,203,153,126,114,72,57,55,37,28,19,15,11,13,10,1,2,1,5,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,data/raw/heat_3/imgs/18745.TIF,train
1,15141,non-inclusion,0,1-15141,47,114,6.874,5.942,7.436,6.225,6.886,1.1,27.731,42.658,0.64,0.93,0.092773438,0,0,0,0,0,0,0,0,2,1,2,8,3,3,8,10,5,16,11,10,11,14,14,18,10,14,24,10,9,11,8,9,11,9,10,13,11,12,10,16,8,6,7,7,14,9,8,10,10,17,14,6,10,12,17,12,11,16,19,6,11,8,12,16,13,14,17,9,12,18,16,15,12,14,9,14,11,13,13,9,16,13,12,14,15,11,20,14,18,13,18,10,18,20,13,13,18,6,16,14,14,16,12,8,18,15,12,11,14,17,25,12,19,22,15,20,24,17,21,28,21,19,26,24,22,34,20,20,26,27,29,21,29,32,36,28,48,34,34,37,30,51,40,33,58,37,47,52,46,45,46,55,47,47,50,38,39,38,43,35,55,39,37,43,40,48,43,34,39,48,42,59,44,54,63,84,87,85,98,117,134,147,200,217,261,286,311,392,394,411,452,506,554,512,549,583,576,560,553,528,486,483,433,412,378,326,302,263,223,185,147,123,105,74,66,54,44,34,29,18,11,6,5,5,3,3,2,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data/raw/heat_1/imgs/15141.TIF,train
3,1739,oxide,1,3-1739,19,87,3.496,3.182,4.188,3.024,3.041,1.4,7.953,13.461,0.58,0.73,0.092773438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,4,1,7,6,8,6,6,7,8,11,16,14,21,19,14,20,10,13,14,12,23,12,17,9,13,9,6,12,6,8,13,6,14,9,5,5,8,11,9,9,6,5,5,2,2,9,6,8,6,8,4,4,9,9,5,5,6,2,6,2,6,3,5,3,8,3,6,3,6,10,3,4,5,2,5,3,3,7,2,5,4,8,4,5,7,5,3,2,7,1,4,8,6,6,3,6,3,4,3,5,7,7,4,8,3,4,5,5,3,9,2,7,3,2,4,5,3,6,4,3,4,6,7,3,10,5,3,8,5,5,7,11,2,5,7,2,0,8,6,6,5,9,10,12,6,16,11,15,16,23,23,33,45,68,66,80,111,131,152,192,253,278,321,359,415,488,498,573,666,626,610,711,720,670,682,653,629,664,592,506,556,429,395,373,328,262,224,181,174,124,113,82,71,56,43,24,25,17,14,8,8,5,2,1,1,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data/raw/heat_3/imgs/01739.TIF,train
1,18132,non-inclusion,0,1-18132,63,101,1.892,1.714,2.085,1.751,1.762,1.2,2.307,6.873,0.68,0.85,0.092773438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,2,0,2,1,2,2,2,1,3,5,1,2,1,4,4,6,0,1,3,1,6,2,1,2,4,3,3,1,1,4,1,0,2,2,2,1,3,1,3,1,2,0,3,1,1,1,0,1,2,1,0,0,1,2,3,1,3,2,2,2,0,0,2,1,0,1,1,0,2,2,5,2,1,0,2,2,3,0,2,1,2,3,1,0,3,0,2,3,6,2,2,2,1,1,2,1,1,2,0,3,1,2,4,0,4,0,1,2,0,0,1,2,0,2,3,1,2,4,1,4,1,3,2,0,2,0,4,2,5,6,3,1,5,2,2,6,4,5,12,8,11,12,14,36,41,49,59,83,122,113,164,209,238,313,333,408,426,514,576,656,650,714,759,686,775,697,748,705,731,682,600,581,495,515,376,346,293,275,219,197,141,114,111,82,56,41,37,27,16,19,9,5,3,4,4,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data/raw/heat_1/imgs/18132.TIF,train
3,17204,oxide,1,3-17204,149,98,3.939,3.731,4.143,3.616,3.881,1.1,10.931,15.8,0.81,0.94,0.092773438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,4,1,6,6,3,9,14,14,14,17,16,21,14,15,15,19,18,16,16,20,14,12,11,10,14,8,11,10,8,8,11,3,8,7,9,9,10,7,12,12,10,2,7,14,12,9,10,8,12,9,15,8,8,11,9,5,7,7,9,11,7,9,6,8,8,7,7,9,9,7,10,5,11,7,3,5,9,6,4,5,3,6,6,2,3,9,9,14,9,5,7,6,6,10,12,8,9,4,8,10,5,11,16,9,5,7,8,12,6,4,5,9,11,11,8,6,5,8,13,9,6,10,7,12,9,12,6,14,8,8,15,17,7,6,12,9,11,12,14,12,11,17,11,22,18,16,22,32,28,53,61,85,90,124,129,147,219,226,281,335,356,425,442,482,557,606,590,677,721,708,678,706,647,647,574,604,537,473,415,377,320,319,223,223,177,161,113,106,79,56,36,38,26,12,7,14,11,2,4,3,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data/raw/heat_3/imgs/17204.TIF,train
3,7663,oxide,1,3-7663,73,84,4.261,3.21,5.755,2.17,2.303,2.5,8.09,16.66,0.31,0.4,0.092773438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,2,0,2,7,5,12,2,7,13,18,16,20,16,16,17,19,21,13,19,15,14,14,15,16,14,4,12,6,8,4,12,8,6,6,9,6,7,8,7,6,3,4,3,6,7,5,2,5,9,4,1,4,4,5,3,6,6,5,2,5,6,4,5,4,9,6,6,5,3,4,6,4,3,5,9,4,4,4,3,1,4,3,7,6,9,5,3,4,4,8,4,7,3,4,3,5,3,4,6,4,11,4,6,7,5,3,9,10,5,4,3,5,5,10,7,3,2,5,8,4,6,3,4,3,4,6,4,5,1,1,4,4,4,4,5,7,8,8,7,6,6,4,2,3,9,3,9,5,11,7,15,16,18,29,27,37,45,58,75,83,104,124,161,221,231,280,349,390,404,498,523,549,605,649,638,707,688,649,734,682,625,556,588,538,529,499,375,373,320,275,199,214,142,125,104,79,65,48,47,24,28,17,12,9,7,4,2,3,2,2,3,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,data/raw/heat_3/imgs/07663.TIF,train
1,11388,oxy-sulfide,3,1-11388,37,102,3.496,3.33,3.8,3.248,3.279,1.2,8.71,13.733,0.77,0.86,0.092773438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,3,7,3,2,5,3,5,9,6,13,14,9,16,9,10,6,9,5,9,8,5,5,4,7,5,6,8,7,7,3,1,5,6,1,9,6,5,7,3,10,6,3,8,6,2,8,9,3,5,2,5,10,8,10,4,9,9,6,8,15,8,5,14,12,17,17,15,15,15,14,14,14,18,19,15,19,20,22,16,11,16,14,9,11,9,5,7,13,2,6,3,5,8,5,7,7,5,7,4,9,4,4,9,6,3,3,6,3,3,3,5,3,6,3,6,0,6,9,4,6,6,4,7,3,6,4,8,6,7,2,5,2,7,10,12,9,13,16,18,21,35,34,41,77,86,115,124,169,188,234,297,331,387,445,519,499,538,627,695,691,714,728,718,740,680,652,596,602,503,483,413,393,357,278,237,227,158,161,113,95,79,60,43,29,25,14,8,6,10,6,3,2,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data/raw/heat_1/imgs/11388.TIF,train
